

Zelenograd 215727
Parashino 88

Dzerzhinsky 47163
Misheronskiy 3790
Tatishhevo 410
Vozhd' Proletariata 594
Myatlevo 1969
Ignatovo 680
Kozlovo 4248
Ves'kovo 83
Rozhdestveno 3062
Meshcherino 4207
Dunino 255
Konstantinovo 3565

Kokoshkino 9818
Kudinovo 3381
Aleshino 241
Bol'shiye Vyazemy 4876
Knyazh'i Gory 989

Vostryakovo 16509
Ferzikovo 4344
Shilovo 669
Pestovo 135
Sakharovo 3790
Brekhovo 887
Brykovy Gory 230
Tugolesskiy Bor 2217

Bogorodskoye 9275
Pereslavskoye 250
Peshki 1063
Gorki 169
Verkhniy Zgid 208
Novodugino 3894
Novoguslevo 382
Zhitnevo 3193
Novokharitonovo 1000
Kurilovo 1738
Khovrino 169
Baryatino 2645
Belyaninovo 800

Vinogradovo 9600
Yeganovo 265
Galiakberovo 1000
Dmitrovskoye 602
Novoye 2458

Yershovo 9367
Popovo 1997
Ipatovo 50

Kabanovo 23414
Novo-Nikol'skoye 1048

Lazarevskoye 30000
Przheval'skoye 1000
Novopetrovskoye 5184
Taremskoye 3059
Novoivanovskoye 5885
Il'inskoye 4320

Noginsk-9 10000
Stepanshchino 587
Anopino 1972
Kapustino 254
Kuzhenkino 3424
Khanino 1256
Rakhmanovo 2733
Melikhovo 3821
Belousovo 50

Konobeyevo 10434
Alabushevo 2733

Fryazevo 53212
Ateptsevo 3424
Seitovo 50
Dorokhovo 4313
Novogurovskiy 3702
Novosil' 3989
Voroshnevo 3244
Gorshkovo 2386
Chupryakovo 1951
Reshetnikovo 3192
Sonkovo 4431
Saltykovka 4573
Vorob'yevka 110
Bukholovka 310
Semkhoz 2838
Yezhovka 84
Chornoye 4047
Bol'shoye Gryzlovo 1328
Brykovo 119
Yurovo 976
Dmitrovskiy Pogost 2100
Semenovskoye 104

Petrovskaya 30000
Peski 3705
Veshchevo 3300
Perevoz 68
Petrovsk 5324
Gusevskiy 3473
Snovskoye 571
Satino-Russkoye 75
Solmonskoye 104
LMS 5238
Yaropolets 1184
Uglerodovskiy 2986

Lopatinskiy 14219
Podkumskiy 3702
Zelenogradskiy 2155
Chepelevo 594
Bizyaevo 19
Izoplit 4299
Sobolikha 240
Chakola 250
Zolotkovo 3655
Novoye Selo 700
Poselok doma otdykha Avangard 360
Podosinki 1564
Vasilevo 234

Staroyur'yevo 6900
Sukharevo 452
Teryayevo 1351
Malyshevo 1082
Orud'yevo 1334
Porech'ye-Rybnoye 1949
Solov'yevka 329
Uvarovka 3136
Biserovo 213
Yasenevo 132
Kuznetsovo 997

Muranovo 6500
Yasenovka 64
Khvoshchevka 72
Cherkizovo 3439
Shevlyakovo 1664
Pozhitkovo 250
Ozeretskoye 243
Raysemenovskoye 876
Kamenetskiy 2788
Velikodvorskiy 2218

Pirogovskiy 6208
Sozimskiy 1968
Pereleski 270
Fedoskino 219
Staryy Medved' 250
Krasnyy Bogatyr' 1019
Rabotki 2151
Morozovy-Borki 571
Korsakovo 1465
Taraksa 240

Khosta 20000
Troshkovo 731
Tolstyakovo 401

Moskovskiy 15435
Imeni Vorovskogo 5303
Vorsha 1437
Firsanovka 2824
Geofizikov 50
Mosrentgen 5214
Yermolino 1334
Marishkino 651
Mezinovskiy 2116
Gorki-Leninskiye 1715
Luchinskoe 132
Pryamukhino 250
Bunyatino 793
Mikulino 1292
Shaygino 876
Temkino 2692
Pudem 2278
Bol'shaya Brembola 698
Kolobovo 2910
Vorob'i 240
Savvinskaya Sloboda 1239
Bol'shaya Zakhvatikha 19
Novaya Kupavna 844
Panino 159
Zaprudino 158
Budenovetc 1268
Lobanovka 64
Golovino 2990

Vidnoye 51721
Gidrouzel 794
Zhelnino 844
Novozhivotinnoye 1997
Tishkovo 145
Yakovlevskoye 4330
Opalevo 110
Semendyayevo 278
Sandovo 3807
Novopokrovka 3946
Kolchanovo 2802
Byakovo 100
Lyubytino 3225
Lyaskelya 3571
Belogorsk 3452
Yelino 64
Kosmynino 1670

Yubileyny 32508
Karpilovka 360
Kiskelovo 19
Bernovo 1253
Zasenova 69
Zanevka 612

Zavidovo 7400
Dontso 19

Sofrino 15265
Avsyunino 5148
Sychevo 3000
Vinnitsy 2200
Ashitkovo 3285
Zhukovka 2647
Brazhnikovo 31
Vypukovo 124
Konduki 119
Kostenki 1000

Ramenskoye 96000

Mendeleyevo 7964
Imeni Tsyurupy 3926

Yur'yev-Pol'skiy 19906
Mugreyevskiy 917
Vishnyakovskiye Dachi 1773
Selishche 1328
Malaya Chernaya 186
Malyye Vyazemy 454
Kremen'ye 19
Nemchinovka 4938
Pavlovichi 964
Panskoye 700
Obolensk 5264
Glebovskoe 602
Borovka 31
Belyy Gorodok 2735
Gordeyevka 3005

Mamontovka 8817
Melchevka 525

Cheremushki 106587
Shemetovo 4200
Petrovskiy 2943
Korovino 26
Kraskino 3369

Krasnoye-na-Volge 7953

Vrangel' 20000
Nerl' 2292
Sudislavl' 5236
Savinskaya 1587
Konevitsa 145

Rumyantsevo 7345
Igumnovo 948
Radumlya 2250
Kolyubakino 2724
Vysokinichi 1931
Seredeyskiy 1927
Pervoavgustovskiy 1677
Aleksandro-Nevskiy 4030
Urshel'skiy 4683
Nizhniye Osel'ki 64
Senezh 422
Demenka 286
Novomelkovo 208
Luk'yanovo 213
Novoshchapovo 850
Bykovo 1721
Semenkovo 1000

Korenevo 7319
Baksheyevo 2296
Blizhnevo 50
Valuyevo 435
Rogachevo 3379

Shcherbinka 28065
Biorki 1524
Verkhnyaya Toyma 3790
Doschatoye 5125

Poretskoye 6420
Privolzhskoye 1326
Miloslavskoye 4693

Voznesenskoye 6252
Komsomol'skoye 4839
Mirskoy 3095
Bystrogorskiy 3859
Nezhinskiy 3991

Donskoye 15469
Noskovo 51
Novoterskiy 1900
Pravokubanskiy 2971
Kuz'minskoye 513
Leont'yevskoye 556
Ferapontovo 4000
Lyakhovo 200
Bokovo 15
Praskoveyevka 200
Ryabinovka 1
Lukino 3619
Sknyatino 8
Mal'gino 10
Verkhniye Mandrogi 24
Berendeyevo 1676
Ivantsevo 5
Aksenovo 142
Novotroitskoye 20
Bol'shoye Krotovo 200
Malye Dubrovki 12
Durykino 148
Privetino 16
Velikoretskoye 150
Erpeli 3619
Malyye Soli 43
Gol'yevo 300
Bol'shoye Utkino 14
Rodnoye 300
Vyazovskoye 14
Pestovskiy 4
Kyltovo 42
Glebovo 423
Sivkovo 1
Deniskovichi 536
Svistukha 47
Turosna 455
Lykoshino 600
Volodino 15
Leninskaya Sloboda 29
Novaya Chigla 2978
Akichkin Pochinok 47
Chiverevo 200
Privorot 12
Larinskaya 300
Il'inskiy Pogost 4000
Bol'she-Karinskoye 404
Popovskoye 12
Morskoye 300
Pechersk 4000
Dorshevo 16
Levashovo 3665
Lyskovo 130
Serovo 252
Pashkovo 8
Shmatovo 300
Skolkovo 1500
Bol'shoye Kolychevo 200
Novolakskoye 4463
Blaznovo 93
Knyazhevo 11
Kovalevo 200
