

Nanjing 7743135
Nanji 20500
Lupu 35943
Gupi 48748

Pizhou 343916

Guanhu 97705
Tiefu 87689
Chefushan 45844
Tushan 42853

Yushan 467789

Zhoushi 144529
Shuangfeng 49246
Qingfeng 51510
Lugou 33866
Xuefu 23366
Qinnan 69941
Hainan 19928

Dainan 118726
Xingtai 22860

Dongtai 262873
Nanshenzao 40603
Touzao 66845
Daqiao (Yancheng) 29059
Nanyang (Yancheng) 36257

Yancheng 2135190
Nanyang 78746
Jianyang 49844
Jiulongkou 25027
Jingkou 31708
Jinghe 41623
Pingqiao 48874
Xingqiao 44045
Xinxing 64381
Longgang 72961

Shanggang 137033
Gangxi 24878
Yangxiang 39750
Shanghuang 23380

Shanghu 111194

Fenghuang 101671
Nanfeng 53442

Jinfeng 139368

Xinfeng 95613
Bufeng 53260
Fengli 79699
Yangkou 71181
Tangyang 42373
Xuhe 42295
Guhe 41213
Suzui 55210
Fuxing 28176
Liuxin 65258
Liuquan 51657
Qingshanquan 44314
Qingshan 28927
Yangshan 41976
Hengshanqiao 90580

Zhenglu 111983
Henglin 90352

Yaoguan 100065
Xiaoguanzhuang 21224
Luduo 21783
Ludu 45791
Lujia 90561
Luji 63790
Likou 33659
Linhe 40724
Linhu 55282
Linhuai 28877
Huaihe 51680
Heqiao (Huai'an) 27646
Shunhe (Huai'an) 38009

Huai'an 2491927
Huangma 28683
Yangma 27387
Huangjian 26147
Huangshagang 31990
Gangshang 51114
Hegou 44747
Xingou 40634
Donggou 90081
Gaozuo (Yancheng) 32127
Chenji (Yancheng) 41677
Chenji (Yangzhou) 35640
Liuji (Yangzhou) 46150

Yangzhou 813908

Yangzhong 184985

Daqiao (Yangzhou) 128966
Wuqiao 40620
Touqiao 40420
Gaoqiao 19443
Yaoqiao 44703
Baqiao 34458
Hongqiao 70246
Zhangqiao 44420

Huangqiao 168954
Heshi 44714
Jishi 41805
Shizhuang 55154
Wuyao 54791
Wujie 40269
Wuji 34695
Diaoyu 28358
Liheng 28358
Haihe 77686
Goudun 51296
Baota 19366
Qiaotou 22284
Miaotou 40219
Longmiao 41617
Yangmiao 22338
Xihu 39339
Sihu 40430
Chahe (Xuzhou) 30094
Tashan (Xuzhou) 59162
Biantang 46260
Chentao 50617
Zhancheng 38164
Yaoji 65897
Baoji 67301
Guanzhong 46268
Guantan 32195
Laozishan 14609
Xishunhe 7250
Sanhe 35165
Jiangba 5695
Wangbao 70840
Baochang 44316
Changle 64890
Sanchang 72413
Tianchang 35298
Sanzao 42992
Guoshu 35328

Luoshe 169889
Luoyang 80279
Baoyan 22586
Caoyan 34512
Baiju 34366
Caiji 37414
Weiji 48069
Liangji 52048
Yangjiang 65768
Zhuanqiang 32200
Yuanqiao 43115
Chaiwan 44933
Wangji 91394
Aiyuan 75778
Chuancheng 62323
Liuji (Suqian) 29062
Xinzhuang (Suqian) 18576

Suqian 1434088
Chenji (Suqian) 37190

Yanghe 130894
Yanghua 23442
Dingzui 27303
Dingji 50904
Chengji 18317
Liangcha 28930
Bingcha 49240
Dongchen 69176

Chengdong 137864
Xingdong 45716

Xinghua 297283
