

Paris 2148271

Pantin 52922
Saint-Mande 21261
Saint-Maurice 14282

Saint-Maur-des-Fosses 75402
Mandres-les-Roses 4243
Crosne 8592
Villecresnes 8978

Creteil 84833
Limeil-Brevannes 19104
Bonneuil-sur-Marne 18723
Ormesson-sur-Marne 9922
Chennevieres-sur-Marne 18314

Villiers-sur-Marne 30252
Bry-sur-Marne 16226

Neuilly-sur-Marne 34465
Gournay-sur-Marne 6073

Champs-sur-Marne 27776
Vaires-sur-Marne 12547
Lagny-sur-Marne 20649
Thorigny-sur-Marne 9887
Annet-sur-Marne 2759
Fresnes-sur-Marne 480
Precy-sur-Marne 527
Carnetin 430
Gouvernes 1132
Villeneuve-le-Comte 1764
Villenoy 3887
Mareuil-les-Meaux 1762
Nanteuil-les-Meaux 5499

Meaux 53811
Couilly-Pont-aux-Dames 2033
Bailly-Romainvilliers 3692
Villiers-sur-Morin 1673
Saint-Germain-sur-Morin 3024
La Celle-sur-Morin 1211
La Chapelle-sur-Crecy 4249
Changis-sur-Marne 1038
Mary-sur-Marne 1266
Mery-sur-Marne 558
Saacy-sur-Marne 1866
Saint-Cyr-sur-Morin 1798
Saint-Ouen-sur-Morin 594
Orly-sur-Morin 613
Bussieres 489
Le Plessis-Feu-Aussoux 408
Mouroux 4604
Faremoutiers 2527
Coulommiers 15274
Pommeuse 2739
Sammeron 1044
Douy-la-Ramee 259
Crouy-sur-Ourcq 1681
Lizy-sur-Ourcq 3798
Etrepilly 887
Juilly 2195
Claye-Souilly 11069

Clichy-sous-Bois 29062
Les Pavillons-sous-Bois 19730

Aulnay-sous-Bois 80615

Rosny-sous-Bois 41627

Fontenay-sous-Bois 52075
Boissy-Saint-Leger 15877
Boussy-Saint-Antoine 6786
Lieusaint 7018
Saintry-sur-Seine 5308
Soisy-sur-Seine 7552
Juvisy-sur-Orge 12376

Savigny-sur-Orge 39698
Villemoisson-sur-Orge 7250
Morsang-sur-Orge 19917
Epinay-sur-Orge 9507
Villiers-sur-Orge 3956
Longpont-sur-Orge 6149
Saint-Michel-sur-Orge 20824
Bretigny-sur-Orge 24317
Leuville-sur-Orge 3952
Leudeville 1256
Itteville 5650
Mondeville 725
Guigneville-sur-Essonne 983
Boutigny-sur-Essonne 3171
Moigny-sur-Ecole 1358
Soisy-sur-Ecole 1395
Oncy-sur-Ecole 927
Noisy-sur-Ecole 1886
Montigny-sur-Loing 2749
Grez-sur-Loing 1347
Bagneaux-sur-Loing 1569
Souppes-sur-Loing 6002
La Madeleine-sur-Loing 372
Moret-sur-Loing 4866
Samoreau 2371
Samois-sur-Seine 2055
Vulaines-sur-Seine 2273
Champagne-sur-Seine 6608
Vernou-la-Celle-sur-Seine 2742
Varennes-sur-Seine 3494
Chatenay-sur-Seine 1042
Bray-sur-Seine 2135
Passy-sur-Seine 39
